23002,<b>,533946,533946,533946,533946,533946,533946,<e>,<b>,533946,533946,533946,533946,533946,<e>,<b>,533946,533946,533946,533946,533946,533946,533946,<e>,<b>,533946,533946,533946,533946,533946,<e>,<b>,533946,533946,533946,533946,533946,<e>,<b>,999999,<e>,<b>,999999,<e>,<e>
23002,<b>,533946,533946,533946,533946,533935,533946,533946,<e>,<b>,533946,533946,533946,533946,533945,533935,533935,533935,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<e>
23003,<b>,533945,533945,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,533933,533935,<e>,<b>,999999,<e>,<b>,533933,533946,533945,<e>,<b>,533933,533946,<e>,<e>
23003,<b>,533934,533935,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<e>
23003,<b>,533933,533935,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,533933,533946,<e>,<e>
23003,<b>,533933,533935,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,533933,533935,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<e>
23005,<b>,533943,533945,533935,533945,533946,533943,533925,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533925,533935,533925,<e>,<b>,533943,533945,533943,533943,<e>,<b>,533934,533925,533925,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533945,533932,,<e>,<e>
23005,<b>,533943,533945,533935,533945,533943,533925,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533945,533936,533946,533935,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533935,533925,533925,<e>,<b>,533943,533925,533925,<e>,<e>
23005,<b>,533943,533925,533925,533935,<e>,<b>,533943,533935,533925,533945,<e>,<b>,533943,533945,533925,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533925,,533943,533943,<e>,<b>,999999,<e>,<b>,999999,<e>,<e>
23005,<b>,533943,533925,533925,533935,<e>,<b>,533943,533946,533925,533925,<e>,<b>,533943,533943,533943,533945,533943,533943,533943,533925,<e>,<b>,533943,533943,533925,533925,<e>,<b>,533943,533925,533925,<e>,<b>,533943,533925,533943,<e>,<b>,533943,533945,533945,533943,533925,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<e>
23010,<b>,533935,533935,533935,<e>,<b>,999999,<e>,<b>,533935,533935,<e>,<b>,533935,533935,533935,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,533935,533946,<e>,<e>
23010,<b>,533935,533935,533935,<e>,<b>,533935,533935,<e>,<b>,533935,533935,<e>,<b>,533935,533935,533935,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,999999,<e>,<e>
23010,<b>,533935,533935,<e>,<b>,533935,533935,<e>,<b>,999999,<e>,<b>,533935,533935,533935,<e>,<b>,999999,<e>,<b>,533935,533935,533946,<e>,<b>,999999,<e>,<e>
23010,<b>,533935,533935,533935,<e>,<b>,999999,<e>,<b>,533935,533935,533935,<e>,<b>,999999,<e>,<b>,999999,<e>,<b>,533935,533945,<e>,<b>,533935,533935,533935,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<e>
23014,<b>,533955,533945,<e>,<b>,533955,533945,<e>,<b>,533955,533936,<e>,<b>,533955,533945,<e>,<b>,999999,<e>,<b>,533955,533955,533955,533955,<e>,<b>,999999,<e>,<e>
